ID,Year,Title,Authors,Journal,DOI,ADS,arXiv,Research_topic,Subtopic,Asteroid_population,Survey,Telescope,Instrument,Wavelength,Observation_type,Data_type,Sample_size,Method,Algorithm,Software,Main_question,Key_result,Innovation,Limitation,Dataset_public,Code_public,Verification_record,Review_priority,Notes,Input_Level,Output_Level,Pipeline_Stage
AST-001,2001,"Solar System Objects Observed in the Sloan Digital Sky Survey Commissioning Data","Ivezic Z; et al.",Astronomical Journal,10.1086/323452,,,"Surveys;Population science",SDSS moving-object catalog,All,SDSS,SDSS 2.5m,Imaging camera,optical,Survey imaging,Multi-band photometry,14003,"Moving-source selection and color analysis",,,"What population science can a five-band digital survey enable?","14003 moving-object candidates.","Large multi-band survey sample.","Commissioning footprint limits inference.",yes,,"DOI checked 2026-09-06",A,"Candidate count corrected from pasted estimate."
AST-002,2001,"Optimization Methods for Asteroid Lightcurve Inversion: I. Shape Determination","Kaasalainen M; Torppa J",Icarus,10.1006/icar.2001.6673,,,"Shape inversion",Convex inversion,All,,, ,optical,Light curves,Dense photometry,,"Numerical inversion",Optimization,,"How can shape be inferred from brightness?","Practical shape inversion framework.","Optimization-based method.","Viewing geometry and model assumptions.",,,"DOI checked 2026-09-06",A,
AST-003,2001,"Optimization Methods for Asteroid Lightcurve Inversion: II. The Complete Inverse Problem","Kaasalainen M; et al.",Icarus,10.1006/icar.2001.6674,,,"Shape inversion;Rotation",Joint shape-spin inversion,All,,,,optical,Light curves,Dense photometry,,"Joint inverse problem",Optimization,,"How can shape spin and period be solved together?","Complete photometric inverse problem.","Unified physical-parameter estimation.","Disk-integrated degeneracies.",,,"DOI checked 2026-09-06",A,
AST-004,2002,"Phase II of the Small Main-Belt Asteroid Spectroscopic Survey: The Observations","Bus SJ; Binzel RP",Icarus,10.1006/icar.2002.6853,,,"Spectroscopy and taxonomy",SMASS II observations,Main belt,SMASS,,,visible,Spectroscopy,Reflectance spectra,,"Survey spectroscopy",,,"What sample supports modern taxonomy?","SMASS II observational dataset.","Large homogeneous visible survey.","Selection and wavelength limits.",,,"DOI checked 2026-09-06",A,
AST-005,2002,"Phase II of the Small Main-Belt Asteroid Spectroscopic Survey: A Feature-Based Taxonomy","Bus SJ; Binzel RP",Icarus,10.1006/icar.2002.6856,,,"Spectroscopy and taxonomy",Bus taxonomy,Main belt,SMASS,,,visible,Spectroscopy,Reflectance spectra,,"Feature-based classification",,,"How should SMASS II spectra be grouped?","Defines Bus taxonomy.","Reference visible taxonomy.","Visible-only spectral degeneracy.",,,"DOI checked 2026-09-06",A,
AST-006,2007,"Efficient Intra- and Inter-night Linking of Asteroid Detections Using kd-trees","Kubica J; et al.",Icarus,10.1016/j.icarus.2007.01.008,,,"Tracklet construction and linking",kd-tree linking,All,,, ,optical,Detection catalogs,Detection catalogs,,"Spatial indexing",kd-tree,,"How can detections be linked efficiently?","Demonstrates kd-tree linking.","Scalable linking approach.","Cadence and tuning dependent.",,,"DOI checked 2026-09-06",A,
AST-007,2009,"The Asteroid Lightcurve Database","Warner BD; Harris AW; Pravec P",Icarus,10.1016/j.icarus.2009.02.003,,,"Databases;Rotation",LCDB,All,,,,multiple,Database,Compiled measurements,,"Literature curation",LCDB,,"How can lightcurve properties be consolidated?","Describes LCDB.","Central rotation-property resource.","Heterogeneous source quality.",yes,,"DOI checked 2026-09-06",A,
AST-008,2009,"An Extension of the Bus Asteroid Taxonomy into the Near-Infrared","DeMeo FE; et al.",Icarus,10.1016/j.icarus.2009.02.005,,,"Spectroscopy and taxonomy",Bus-DeMeo taxonomy,All,,,,"visible to near-infrared",Spectroscopy,Reflectance spectra,,"Spectral classification",,,"How does taxonomy change with NIR?","Extends classification to 0.45–2.45 um.","Bus-DeMeo system.","Spectral coverage dependent.",,,"DOI checked 2026-09-06",A,
AST-009,2009,"Asteroid Models from Combined Sparse and Dense Photometric Data","Durech J; et al.","Astronomy & Astrophysics",10.1051/0004-6361:200810393,,,"Shape inversion;Rotation",Sparse plus dense inversion,All,,,,optical,Photometry,"Sparse and dense",,"Combined-data inversion",,,"Can sparse data complement dense lightcurves?","Demonstrates combined inversion.","Bridges traditional and survey data.","Sparse-data ambiguities.",,,"DOI checked 2026-09-06",A,
AST-010,2010,"DAMIT: A Database of Asteroid Models","Durech J; et al.","Astronomy & Astrophysics",10.1051/0004-6361/200912693,,,"Databases;Shape inversion",DAMIT,All,,,,multiple,Database,"Shape and spin models",,"Model repository",DAMIT,,"How can inverted models be shared?","Introduces DAMIT.","Standard model repository.","Provenance and uncertainty required.",yes,,"DOI checked 2026-09-06",A,
AST-011,2010,"A Three-Parameter Magnitude Phase Function for Asteroids","Muinonen K; et al.",Icarus,10.1016/j.icarus.2010.04.003,,,"Photometry and phase functions","H G1 G2",All,,,,optical,Photometry,Phase curves,,"Parametric phase modeling","H-G1-G2",,"How can phase behavior be modeled flexibly?","Introduces H G1 G2.","Modern phase-function model.","Needs phase-angle coverage.",,,"DOI checked 2026-09-06",A,
AST-012,2011,"Main Belt Asteroids with WISE/NEOWISE. I. Preliminary Albedos and Diameters","Masiero JR; et al.","Astrophysical Journal",10.1088/0004-637X/741/2/68,,,"Diameter albedo and thermal properties",NEOWISE physical properties,Main belt,WISE/NEOWISE,WISE,Infrared camera,infrared,Survey photometry,Thermal infrared,>100000,"Thermal modeling",NEATM,,"How can IR data provide diameters and albedos at scale?","Over 100000 main-belt physical estimates.","Population-scale thermal characterization.","Thermal-model and selection assumptions.",yes,,"DOI checked 2026-09-06",A,
AST-013,2012,"Asteroid Rotation Periods from the Palomar Transient Factory Survey","Polishook D; et al.","Monthly Notices of the Royal Astronomical Society",10.1111/j.1365-2966.2012.20462.x,,1201.1930,"Rotation;Surveys",PTF rotation,Main belt,PTF,Palomar 48-inch,Camera,optical,Time-domain survey,Light curves,,"Period recovery",,,"Can a transient survey recover periods in bulk?","88 high-quality rotation periods.","Early survey-scale rotation analysis.","Cadence aliases and photometric limits.",yes,,"Publisher and arXiv checked 2026-09-06",A,
AST-014,2013,"The Pan-STARRS Moving Object Processing System","Denneau L; et al.","Publications of the Astronomical Society of the Pacific",10.1086/670337,1302.7281,1302.7281,"Detection;Linking;Orbits",MOPS,All,Pan-STARRS,Pan-STARRS,Imaging system,optical,Survey pipeline,Detection catalogs,,"Automated discovery pipeline",MOPS,,"How can a survey create discoveries from transient detections?","Describes MOPS.","End-to-end modern pipeline reference.","Simulation-dependent efficiency claims.",yes,,"DOI and arXiv checked 2026-09-06",A,
AST-015,2013,"The Taxonomic Distribution of Asteroids from Multi-filter All-sky Photometric Surveys","DeMeo FE; Carry B",Icarus,10.1016/j.icarus.2013.06.027,,,"Taxonomy;Population science",Photometric taxonomy,All,SDSS,,,optical,Survey photometry,Multi-band colors,,"Color-based taxonomy",,,"How can survey colors map taxonomy?","Connects colors and population inference.","Addresses survey bias explicitly.","Broad-band color ambiguity.",,,"DOI checked 2026-09-06",A,
AST-016,2016,"Asteroid Models from the Lowell Photometric Database","Durech J; et al.","Astronomy & Astrophysics",10.1051/0004-6361/201527573,,1601.02909,"Shape inversion;Rotation",Lowell sparse photometry,All,Lowell,,,optical,Photometry,Sparse photometry,,"Sparse-data inversion",,,"What models can sparse archives yield?","Applies inversion to Lowell data.","Large sparse-photometry modeling.","Reliability and bias challenges.",yes,,"DOI and arXiv checked 2026-09-06",A,
AST-017,2018,"ATLAS: A High-cadence All-sky Survey System","Tonry JL; et al.","Publications of the Astronomical Society of the Pacific",10.1088/1538-3873/aabadf,,,Surveys,ATLAS,NEO;All,ATLAS,ATLAS,Wide-field camera,optical,Time-domain survey,Imaging,,"High-cadence survey",ATLAS,,"What system enables high-cadence all-sky detection?","Describes ATLAS.","Reference survey-system paper.","Depth cadence footprint tradeoffs.",yes,,"DOI checked 2026-09-06",A,
AST-018,2019,"DeepStreaks: Identifying Fast-moving Objects in the Zwicky Transient Facility Data with Deep Learning","Duev DA; et al.","Monthly Notices of the Royal Astronomical Society",10.1093/mnras/stz1096,1904.05920,1904.05920,"Machine learning;Detection",Streak identification,NEO,ZTF,Palomar 48-inch,ZTF camera,optical,Time-domain survey,Image cutouts,,"Deep learning",CNN,DeepStreaks,"Can ML reduce fast-mover screening?","CNN deployed in ZTF workflow.","Operational streak classifier.","Generalization and label bias.",yes,yes,"DOI and arXiv checked 2026-09-06",A,
AST-019,2019,"LSST: From Science Drivers to Reference Design and Anticipated Data Products","Ivezic Z; et al.","Astrophysical Journal",10.3847/1538-4357/ab042c,1809.02608,1809.02608,Surveys,LSST reference design,All,Rubin Observatory,Simonyi Survey Telescope,LSST camera,optical,Survey design,"Anticipated data products",,"Survey-system design",,,"What design and data products define LSST?","Documents reference design.","Foundation for Rubin-era analysis.","Forecast versus on-sky performance.",yes,,"DOI and arXiv checked 2026-09-06",A,
AST-020,2021,"Asteroid Phase Curves from ATLAS Dual-band Photometry","Mahlke M; et al.",Icarus,10.1016/j.icarus.2020.114094,,2009.05129,"Photometry;Population science",ATLAS phase curves,All,ATLAS,,,optical,Survey photometry,Dual-band phase curves,~95000,"Phase-function fitting",,,"What constraints can ATLAS phase curves deliver?","Fits about 95000 asteroids.","Population-scale phase curves.","Cadence and phase-angle constraints.",yes,,"DOI and arXiv checked 2026-09-06",A,
AST-021,2021,"THOR: An Algorithm for Cadence-independent Asteroid Discovery","Moeyens J; et al.","Astronomical Journal",10.3847/1538-3881/ac042b,2105.01056,2105.01056,"Linking;Orbits",Tracklet-less heliocentric recovery,All,ZTF,,,optical,Detection catalogs,Multi-epoch detections,,"Heliocentric transformation",THOR,THOR,"Can discovery work without tracklets or fixed cadence?","Introduces cadence-independent recovery.","Test-orbit linking framework.","Test-orbit design and computational cost.",yes,yes,"Publisher and arXiv checked 2026-09-06",A,
AST-022,2023,"Gaia Data Release 3: The Solar System Survey","Tanga P; et al.","Astronomy & Astrophysics",10.1051/0004-6361/202243796,,,"Surveys;Astrometry;Taxonomy",Gaia DR3 Solar System Survey,All,Gaia,Gaia spacecraft,Astrometric instruments,optical,Space astrometry,"Epoch astrometry and spectra",>150000,"Catalog production","Gaia DR3",,"What Solar-System products does Gaia DR3 provide?","Large asteroid astrometry and mean spectra.","Space-based population dataset.","Scanning-law and selection effects.",yes,,"Publisher checked 2026-09-06",A,
AST-023,2005,"Linking the Collisional History of the Main Asteroid Belt to Its Dynamical Excitation and Depletion","Bottke WF; et al.",Icarus,10.1016/j.icarus.2005.05.017,,,"Dynamics and evolution;Population science",Collisional and dynamical depletion,Main belt,,,,multiple,"Numerical modeling","Size-frequency and orbital distributions",,"Collisional evolution","CoDDEM",,"How are collisional history and dynamical depletion jointly constrained?","Combines collisional evolution with dynamical depletion over Solar-System history.","Connects belt structure to planetary evolution.","Results depend on early-belt dynamical assumptions.",unknown,unknown,"Publisher checked 2026-09-07",A,
AST-024,2006,"The Yarkovsky and YORP Effects: Implications for Asteroid Dynamics","Bottke WF; Vokrouhlicky D; Rubincam DP; Nesvorny D","Annual Review of Earth and Planetary Sciences",10.1146/annurev.earth.34.031405.125154,,,"Dynamics and evolution;Yarkovsky and YORP",Thermal forces and torques,All,,,,thermal,"Review","Dynamical and spin evolution",,"Literature synthesis",,,"How do thermal forces and torques alter asteroid evolution?","Synthesizes semimajor-axis drift and spin-vector modification.","Unifies dynamics collisions families and NEO delivery.","Review; quantitative outcomes depend on material and spin inputs.",n/a,n/a,"Publisher checked 2026-09-07",A,
AST-025,2006,"Yarkovsky/YORP Chronology of Asteroid Families","Vokrouhlicky D; et al.",Icarus,10.1016/j.icarus.2005.12.010,,,"Asteroid families;Yarkovsky and YORP",Family chronology,Main belt,,,,thermal,"Modeling","Proper elements and family ages",,"Yarkovsky/YORP evolution",,,"How can thermal evolution date moderately young families?","Estimates ages and ejection fields for four families.","Chronology method for 0.1–1 Gyr families.","Age estimates require thermal and initial-ejection assumptions.",unknown,unknown,"Publisher checked 2026-09-07",A,
AST-026,2006,"Yarkovsky Footprints in the Eos Family","Vokrouhlicky D; et al.",Icarus,10.1016/j.icarus.2005.12.011,,,"Asteroid families;Yarkovsky and YORP",Eos family dynamics,Main belt,,,,thermal,"Modeling and spectroscopy","Proper elements;SDSS colors",4400,"Family dynamical model",,,"How do thermal forces and resonances shape Eos?","Explains structure and estimates an age near 1.3 Gyr.","Integrates dynamics family membership and composition.","Model-dependent age; interlopers and selection effects.",yes,unknown,"Publisher checked 2026-09-07",A,
AST-027,2006,"The Breakup of a Main-Belt Asteroid 450 Thousand Years Ago","Nesvorny D; Vokrouhlicky D; Bottke WF",Science,10.1126/science.1126175,,,"Asteroid families;Dynamics and evolution",Very young Datura family,Main belt,,,,optical,"Osculating-orbit clustering","Orbital elements",,"Recent-breakup identification",,,"Can a very recent asteroid breakup be identified dynamically?","Reports the young Datura family.","Uses five-dimensional osculating-orbit clustering.","Limited to sufficiently young compact families.",unknown,unknown,"PubMed checked 2026-09-07",A,
AST-028,2012,"Density of Asteroids","Carry B","Planetary and Space Science",10.1016/j.pss.2012.03.009,,1203.4336,"Mass density and internal structure",Density and macroporosity,All,,,,multiple,"Review and compilation","Mass and volume estimates",287,"Literature synthesis",,,"What do measured densities imply about composition and interiors?","Compiles 287 small-body mass and volume estimates.","Links density taxonomy and macroporosity.","Only about one-third of estimates are precise to 20 percent.",yes,n/a,"Publisher and arXiv checked 2026-09-07",A,
AST-029,2015,"Identification and Dynamical Properties of Asteroid Families","Nesvorny D; Broz M; Carruba V","Asteroids IV",10.2458/azu_uapress_9780816532131-ch016,,1502.01628,"Asteroid families;Dynamics and evolution",Family identification,Main belt,,,,multiple,"Review","Proper-element family memberships",122,"HCM and dynamical synthesis",,,"How are families identified and used in dynamical studies?","Reviews inventory and supplies memberships for 122 families.","Reference gateway for family methods and catalog use.","Membership depends on catalog and interloper treatment.",yes,n/a,"DOI and arXiv checked 2026-09-07",A,
AST-030,2015,"Asteroid Systems: Binaries, Triples, and Pairs","Margot JL; Pravec P; Taylor P; Carry B; Jacobson S","Asteroids IV",10.2458/azu_uapress_9780816532131-ch019,,1504.00034,"Binary and multiple systems;Internal structure",Binary formation,All,,,,multiple,"Review","Binary triple and pair observations",,"Literature synthesis",,,"What mechanisms form asteroid binaries triples and pairs?","Synthesizes rotational fission for small systems and collisions for large systems.","Connects YORP spin-up to system formation.","Observational samples and formation channels vary by size regime.",n/a,n/a,"DOI and arXiv checked 2026-09-07",A,
AST-031,2015,"Asteroid Thermophysical Modeling","Delbo M; Mueller M; Emery JP; Rozitis B; Capria MT","Asteroids IV",10.2458/azu_uapress_9780816532131-ch006,,1508.05575,"Thermal properties;Yarkovsky and YORP",Thermophysical modeling,All,,,,infrared,"Review","Thermal infrared photometry",,"Thermophysical modeling",TPM,,"What physical parameters can thermal infrared modeling constrain?","Relates flux to size albedo inertia roughness shape and spin.","Links remote physical characterization and dynamics.","Requires assumptions or knowledge of shape spin and surface properties.",n/a,n/a,"DOI and arXiv checked 2026-09-07",A,
AST-032,2018,"Debiased Orbit and Absolute-Magnitude Distributions for Near-Earth Objects","Granvik M; et al.",Icarus,10.1016/j.icarus.2018.04.018,,1804.10265,"NEO and population science",NEO population model,NEO,"Catalina Sky Survey",,,optical,"Survey modeling","Orbits and absolute magnitudes",,"Debiasing and source modeling",,,"What is the debiased NEO distribution and its source mix?","Builds a four-dimensional a e i H model calibrated to Catalina detections.","Source-specific model including resonances and cometary input.","Selection-function and steady-state assumptions.",yes,unknown,"DOI and arXiv checked 2026-09-07",A,
AST-033,2023,"Reconstruction of Asteroid Spin States from Gaia DR3 Photometry","Durech J; Hanus J","Astronomy & Astrophysics",10.1051/0004-6361/202345889,,2305.10798,"Rotation and shape;Population science",Gaia DR3 convex inversion,All,Gaia,Gaia spacecraft,,optical,"Sparse photometry","Gaia DR3 photometry",8600,"Lightcurve inversion","Convex shape model",,"Can sparse Gaia photometry yield unique spin and shape solutions?","Finds unique spin states and low-resolution convex models for about 8600 asteroids.","Population-scale application of convex inversion.","Most targets have insufficient points for unique periods.",yes,yes,"Publisher and arXiv checked 2026-09-07",A,
AST-034,2024,"Asteroid Spin and Shape Properties from Gaia DR3 Photometry","Cellino A; Tanga P; Muinonen K; Mignard F","Astronomy & Astrophysics",10.1051/0004-6361/202449297,,,"Rotation and shape;Population science",Gaia genetic inversion,All,Gaia,Gaia spacecraft,,optical,"Sparse photometry","Gaia DR3 photometry",8670,"Photometric inversion","Genetic algorithm",,"What spin and shape information can a separate Gaia inversion pipeline recover?","Accepts 8670 filtered inversion solutions.","Independent large-sample pipeline and reliability filtering.","Simple ellipsoid model and limited DR3 sampling.",yes,unknown,"Publisher checked 2026-09-07",A,
AST-035,2026,"Asteroid Characterization Using Gaia Data Release 3: I. Shapes Spins and Scattering Properties","MacLennan EM; et al.","Astronomy & Astrophysics",10.1051/0004-6361/202556031,,,"Rotation and shape;Photometry and phase functions;Population science",Gaia DR3 joint characterization,All,Gaia,Gaia spacecraft,,optical,"Sparse photometry","Gaia DR3 photometry",8467,"Bayesian inversion","MCMC;triaxial ellipsoid and convex models",,"Can Gaia DR3 jointly constrain shape spin and scattering?","Derives population-scale physical parameters for 8467 asteroids.","Joint treatment of shape spin phase slope and absolute magnitude.","Sparse cadence and model choice limit parameter identifiability.",yes,unknown,"Publisher checked 2026-09-07",A,
AST-036,2001,"Space Weathering from Mercury to the Asteroid Belt","Hapke B","Journal of Geophysical Research: Planets",10.1029/2000JE001338,,,"Space weathering and surface evolution",Optical effects,All,,,,visible to near-infrared,Review,Reflectance spectra,,"Literature synthesis",,,"How does space weathering alter asteroid spectra?","Reviews darkening reddening and weakened absorption bands.","Physical entry point for spectral alteration.","Mechanisms and rates vary by material and environment.",n/a,n/a,"Publisher checked 2026-09-07",A,
AST-037,2004,"Space Weathering of Asteroid Surfaces","Chapman CR","Annual Review of Earth and Planetary Sciences",10.1146/annurev.earth.32.101802.120453,,,"Space weathering and surface evolution",Remote-sensing interpretation,All,,,,visible to near-infrared,Review,Reflectance spectra,,"Literature synthesis",,,"Why is observed spectrum not a direct composition proxy?","Synthesizes solar-wind and micrometeoroid modification.","Connects weathering to S-type and chondrite interpretation.","Surface physics remains composition and texture dependent.",n/a,n/a,"Publisher checked 2026-09-07",A,
AST-038,2002,"Asteroid (216) Kleopatra: Tests of the Radar-derived Shape Model","Hestroffer D; et al.","Astronomy & Astrophysics",10.1051/0004-6361:20021006,,,"Shape and spin;Multi-data inversion",Kleopatra validation,Main belt,,,,multiple,"Cross-modal validation","Radar;HST FGS;lightcurves;occultations",,"Model comparison",,,"Can a radar-only shape satisfy independent constraints?","Finds global agreement but underestimates flattening by about 20 percent.","Early multi-data shape-validation case.","Single target; each modality retains its own systematics.",yes,unknown,"DOI checked 2026-09-07",A,
AST-039,2000,"Fast and Slow Rotation of Asteroids","Pravec P; Harris AW",Icarus,10.1006/icar.2000.6482,,,"Pre-2001 foundations;Internal structure",Spin barrier,All,,,,optical,"Lightcurve compilation","Rotation periods",,"Population analysis",,,"What does the spin-rate distribution imply about asteroid strength?","Establishes the roughly 2.2-hour barrier for larger bodies.","Foundation for rubble-pile interpretation.","Historical sample and size estimates are limited.",n/a,n/a,"DOI checked 2026-09-07",A,"Foundation; excluded from main 2001–2026 trend denominator."
AST-040,2007,"Direct Detection of the Asteroidal YORP Effect","Lowry SC; et al.",Science,10.1126/science.1139040,,,"Yarkovsky and YORP",Direct YORP measurement,NEO,,,,optical,"Dense photometry","Four-year lightcurve series",,"Spin-acceleration fit",,,"Can YORP-driven spin change be measured directly?","Measures spin acceleration of 2000 PH5.","Direct observational validation of asteroidal YORP.","Single-object result requires accurate period tracking.",yes,unknown,"PubMed checked 2026-09-07",A,
